trial_num,phase,timestamp,event_type,shape,position,additional_info
0,AG,24.554288300103508,videoStart,all,center,video=balloons_5
0,AG,29.731290800031275,videoEnd,all,center,"video=balloons_5, duration=5.15s"
1,training,31.254702600068413,trial_start,all,,shape_order=circle-cross-star-t
1,training,32.25932280009147,fixator_end,all,,
1,training,33.276727900025435,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
1,training,35.05801090004388,animation_end,circle,"(-480.0, -270.0)",duration=1781ms
1,training,35.07238800008781,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
1,training,36.87425130000338,animation_end,cross,"(480.0, -270.0)",duration=1802ms
1,training,37.89217860007193,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
1,training,39.67418680002447,animation_end,star,"(-480.0, 270.0)",duration=1782ms
1,training,40.69222190009896,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
1,training,42.50432740000542,animation_end,t,"(480.0, 270.0)",duration=1812ms
1,training,42.52198320010211,trial_end,all,,shapes_shown=circle-cross-star-t
2,training,43.52870400005486,trial_start,all,,shape_order=circle-cross-star-t
2,training,44.53680710005574,fixator_end,all,,
2,training,45.05764120002277,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
2,training,46.85206480009947,animation_end,circle,"(-480.0, -270.0)",duration=1794ms
2,training,47.121246200054884,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
2,training,48.902003000024706,animation_end,cross,"(480.0, -270.0)",duration=1781ms
2,training,49.42114069999661,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
2,training,51.23286220000591,animation_end,star,"(-480.0, 270.0)",duration=1812ms
2,training,51.25180010008626,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
2,training,53.06764510006178,animation_end,t,"(480.0, 270.0)",duration=1816ms
2,training,53.08334160002414,trial_end,all,,shapes_shown=circle-cross-star-t
3,training,54.099530300009064,trial_start,all,,shape_order=circle-cross-star-t
3,training,55.11643560009543,fixator_end,all,,
3,training,56.13712690002285,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
3,training,57.915378500008956,animation_end,circle,"(-480.0, -270.0)",duration=1778ms
3,training,57.93319030001294,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
3,training,59.715114400023594,animation_end,cross,"(480.0, -270.0)",duration=1782ms
3,training,60.48448070010636,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
3,training,62.28071190009359,animation_end,star,"(-480.0, 270.0)",duration=1796ms
3,training,62.799122700002044,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
3,training,64.61394760000985,animation_end,t,"(480.0, 270.0)",duration=1815ms
3,training,64.6319678000873,trial_end,all,,shapes_shown=circle-cross-star-t
4,training,65.63829310005531,trial_start,all,,shape_order=circle-cross-star-t
4,training,66.64670350006782,fixator_end,all,,
4,training,67.66711910010781,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
