trial_num,phase,timestamp,event_type,shape,position,additional_info
0,AG,26.517935999989277,videoStart,all,center,video=balloons_5
0,AG,31.698890500003472,videoEnd,all,center,"video=balloons_5, duration=5.14s"
1,training,33.208297500008484,trial_start,all,,shape_order=circle-cross-star-t
1,training,34.215889299986884,fixator_end,all,,
1,training,34.233003500005,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
1,training,36.03704049999942,animation_end,circle,"(-480.0, -270.0)",duration=1804ms
1,training,36.55231490000733,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
1,training,38.36500520000118,animation_end,cross,"(480.0, -270.0)",duration=1813ms
1,training,38.381743200006895,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
1,training,40.1977259000123,animation_end,star,"(-480.0, 270.0)",duration=1816ms
1,training,41.216309300012654,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
1,training,42.99466070000199,animation_end,t,"(480.0, 270.0)",duration=1778ms
1,training,43.013157000008505,trial_end,all,,shapes_shown=circle-cross-star-t
2,training,44.029045100003714,trial_start,all,,shape_order=circle-cross-star-t
2,training,45.04752829999779,fixator_end,all,,
2,training,45.315715100005036,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
2,training,47.09535729998606,animation_end,circle,"(-480.0, -270.0)",duration=1780ms
2,training,48.11493049998535,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
2,training,49.92826149999746,animation_end,cross,"(480.0, -270.0)",duration=1813ms
2,training,50.696939199988265,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
2,training,52.493380500003695,animation_end,star,"(-480.0, 270.0)",duration=1796ms
2,training,52.76091949999682,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
2,training,54.557509700010996,animation_end,t,"(480.0, 270.0)",duration=1797ms
2,training,54.5758569999889,trial_end,all,,shapes_shown=circle-cross-star-t
3,training,55.588167400012026,trial_start,all,,shape_order=circle-cross-star-t
3,training,56.590629199985415,fixator_end,all,,
3,training,56.61030070000561,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
3,training,58.42319800000405,animation_end,circle,"(-480.0, -270.0)",duration=1813ms
3,training,58.69328649999807,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
3,training,60.4898661999905,animation_end,cross,"(480.0, -270.0)",duration=1797ms
3,training,60.75881639998988,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
3,training,62.571358199988026,animation_end,star,"(-480.0, 270.0)",duration=1813ms
3,training,62.5893294000125,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
3,training,64.40593919999083,animation_end,t,"(480.0, 270.0)",duration=1817ms
3,training,64.42246410000371,trial_end,all,,shapes_shown=circle-cross-star-t
4,training,65.42689370000153,trial_start,all,,shape_order=circle-cross-star-t
4,training,66.43775529999402,fixator_end,all,,
4,training,66.70438909999211,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
4,training,68.50387230000342,animation_end,circle,"(-480.0, -270.0)",duration=1799ms
4,training,69.0217915000103,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
4,training,70.81878780000261,animation_end,cross,"(480.0, -270.0)",duration=1797ms
4,training,71.58873700001277,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
4,training,73.38510899999528,animation_end,star,"(-480.0, 270.0)",duration=1796ms
4,training,74.15290660000755,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
4,training,75.95068760000868,animation_end,t,"(480.0, 270.0)",duration=1798ms
4,training,75.9687556999852,trial_end,all,,shapes_shown=circle-cross-star-t
4,AG,76.98442459999933,videoStart,all,center,video=bouncyballs_5
4,AG,82.10225309999078,videoEnd,all,center,"video=bouncyballs_5, duration=5.11s"
5,training,83.62053970000125,trial_start,all,,shape_order=circle-cross-star-t
5,training,84.63318199999048,fixator_end,all,,
5,training,85.64987930000643,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
5,training,87.43029530000058,animation_end,circle,"(-480.0, -270.0)",duration=1780ms
5,training,87.44891269999789,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
5,training,89.26350470000762,animation_end,cross,"(480.0, -270.0)",duration=1815ms
5,training,89.53221109998412,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
5,training,91.3295022000093,animation_end,star,"(-480.0, 270.0)",duration=1797ms
5,training,92.35017309998511,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
5,training,94.16267449999577,animation_end,t,"(480.0, 270.0)",duration=1812ms
5,training,94.1803946,trial_end,all,,shapes_shown=circle-cross-star-t
6,training,95.19579860000522,trial_start,all,,shape_order=circle-cross-star-t
6,training,96.21357699998771,fixator_end,all,,
6,training,96.2287803000072,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
6,training,98.02834290001192,animation_end,circle,"(-480.0, -270.0)",duration=1800ms
6,training,99.04580970000825,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
6,training,100.82847559999209,animation_end,cross,"(480.0, -270.0)",duration=1783ms
6,training,101.09616409998853,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
6,training,102.89188069998636,animation_end,star,"(-480.0, 270.0)",duration=1796ms
6,training,103.91206989999046,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
6,training,105.69264439999824,animation_end,t,"(480.0, 270.0)",duration=1781ms
6,training,105.70924019999802,trial_end,all,,shapes_shown=circle-cross-star-t
7,training,106.72556610000902,trial_start,all,,shape_order=circle-cross-star-t
7,training,107.7425443000102,fixator_end,all,,
7,training,108.75902920000954,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
7,training,110.55615439999383,animation_end,circle,"(-480.0, -270.0)",duration=1797ms
7,training,111.57637460000115,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
7,training,113.38851190000423,animation_end,cross,"(480.0, -270.0)",duration=1812ms
7,training,113.65731169999344,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
7,training,115.45432970000547,animation_end,star,"(-480.0, 270.0)",duration=1797ms
7,training,115.47205640000175,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
7,training,117.28734370000893,animation_end,t,"(480.0, 270.0)",duration=1815ms
7,training,117.30462999999872,trial_end,all,,shapes_shown=circle-cross-star-t
8,training,118.32013740000548,trial_start,all,,shape_order=circle-cross-star-t
8,training,119.33751720000873,fixator_end,all,,
8,training,120.1048768000037,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
8,training,121.90318610001123,animation_end,circle,"(-480.0, -270.0)",duration=1798ms
8,training,121.9201260000118,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
8,training,123.71925480000209,animation_end,cross,"(480.0, -270.0)",duration=1799ms
8,training,124.0009327000007,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
8,training,125.78704450000077,animation_end,star,"(-480.0, 270.0)",duration=1786ms
8,training,125.80342479998944,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
8,training,127.60260119999293,animation_end,t,"(480.0, 270.0)",duration=1799ms
8,training,127.61825410000165,trial_end,all,,shapes_shown=circle-cross-star-t
8,AG,128.63323959999252,videoStart,all,center,video=galaxies_5
8,AG,133.77411319999374,videoEnd,all,center,"video=galaxies_5, duration=5.11s"
9,training,135.28411989999586,trial_start,all,,shape_order=circle-cross-star-t
9,training,136.30460350000067,fixator_end,all,,
9,training,136.31827590000466,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
9,training,138.11528279999038,animation_end,circle,"(-480.0, -270.0)",duration=1797ms
9,training,138.13277329999255,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
9,training,139.94803860000684,animation_end,cross,"(480.0, -270.0)",duration=1815ms
9,training,140.21573329999228,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
9,training,142.01437129999977,animation_end,star,"(-480.0, 270.0)",duration=1799ms
9,training,142.78220149999834,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
9,training,144.57917770001222,animation_end,t,"(480.0, 270.0)",duration=1797ms
9,training,144.59607510000933,trial_end,all,,shapes_shown=circle-cross-star-t
10,training,145.6019069000031,trial_start,all,,shape_order=circle-cross-star-t
10,training,146.61288689999492,fixator_end,all,,
10,training,147.6311286999844,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
10,training,149.42893009999534,animation_end,circle,"(-480.0, -270.0)",duration=1798ms
10,training,149.94589510001242,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
10,training,151.75877099999343,animation_end,cross,"(480.0, -270.0)",duration=1813ms
10,training,152.27767139999196,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
10,training,154.09411440000986,animation_end,star,"(-480.0, 270.0)",duration=1816ms
10,training,154.36055899999337,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
10,training,156.17717909999192,animation_end,t,"(480.0, 270.0)",duration=1817ms
10,training,156.19240410000202,trial_end,all,,shapes_shown=circle-cross-star-t
11,training,157.20736440000474,trial_start,all,,shape_order=circle-cross-star-t
11,training,158.2097982999985,fixator_end,all,,
11,training,158.47493009999744,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
11,training,160.29201239999384,animation_end,circle,"(-480.0, -270.0)",duration=1817ms
11,training,160.5581194999977,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
11,training,162.3553807999997,animation_end,cross,"(480.0, -270.0)",duration=1797ms
11,training,162.3741611999867,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
11,training,164.17216729998472,animation_end,star,"(-480.0, 270.0)",duration=1798ms
11,training,164.1895988000033,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
11,training,165.9874690999859,animation_end,t,"(480.0, 270.0)",duration=1798ms
11,training,166.00485589998425,trial_end,all,,shapes_shown=circle-cross-star-t
12,training,167.01804870000342,trial_start,all,,shape_order=circle-cross-star-t
12,training,168.01978770000278,fixator_end,all,,
12,training,169.04004039999563,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
12,training,170.83568769998965,animation_end,circle,"(-480.0, -270.0)",duration=1796ms
12,training,171.85438370000338,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
12,training,173.64995890000137,animation_end,cross,"(480.0, -270.0)",duration=1796ms
12,training,173.66924409999046,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
12,training,175.4677440999949,animation_end,star,"(-480.0, 270.0)",duration=1798ms
12,training,175.98572379999678,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
12,training,177.78490020000027,animation_end,t,"(480.0, 270.0)",duration=1799ms
12,training,177.80280219999258,trial_end,all,,shapes_shown=circle-cross-star-t
13,gaze_triggered,180.08794090000447,trial_start,all,,shape_order=circle-cross-star-t
13,gaze_triggered,180.08954549999908,selection,circle,"(-480.0, -270.0)","executed=True, fixation_duration=0ms, rt=0ms"
13,gaze_triggered,180.37281070000608,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=260ms, rt=262ms"
13,gaze_triggered,180.37492510001175,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=285ms"
13,gaze_triggered,180.38653849999537,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=296ms"
13,gaze_triggered,180.40320689999498,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=313ms"
13,gaze_triggered,180.4189117999922,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=329ms"
13,gaze_triggered,180.43576180000673,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=346ms"
13,gaze_triggered,180.4523981999955,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=362ms"
13,gaze_triggered,180.46901380000054,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=379ms"
13,gaze_triggered,180.48531540000113,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=395ms"
13,gaze_triggered,180.50296700000763,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=413ms"
13,gaze_triggered,180.51952699999674,queued_selection,star,"(-480.0, 270.0)","executed=False, fixation_duration=0ms, rt=429ms"
