trial_num,phase,timestamp,event_type,shape,position,additional_info
0,AG,24.206719799999973,videoStart,all,center,video=balloons_5
0,AG,29.387058600000273,videoEnd,all,center,"video=balloons_5, duration=5.14s"
1,training,30.90308750000031,trial_start,all,,shape_order=circle-cross-star-t
1,training,31.916412500000206,fixator_end,all,,
1,training,32.932440699999916,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
1,training,34.73174960000006,animation_end,circle,"(-480.0, -270.0)",duration=1799ms
1,training,35.49783100000013,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
1,training,37.31336330000022,animation_end,cross,"(480.0, -270.0)",duration=1816ms
1,training,38.332102600000326,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
1,training,40.1457562999999,animation_end,star,"(-480.0, 270.0)",duration=1814ms
1,training,40.4144368000002,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
1,training,42.19531640000014,animation_end,t,"(480.0, 270.0)",duration=1781ms
1,training,42.213833799999975,trial_end,all,,shapes_shown=circle-cross-star-t
2,training,43.21837760000017,trial_start,all,,shape_order=circle-cross-star-t
2,training,44.22785830000021,fixator_end,all,,
2,training,44.24591670000018,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
2,training,46.06065770000032,animation_end,circle,"(-480.0, -270.0)",duration=1815ms
2,training,46.07909520000021,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
2,training,47.89350800000011,animation_end,cross,"(480.0, -270.0)",duration=1814ms
2,training,48.662163800000144,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
2,training,50.46066930000006,animation_end,star,"(-480.0, 270.0)",duration=1798ms
2,training,51.47755420000021,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
2,training,53.27651280000009,animation_end,t,"(480.0, 270.0)",duration=1799ms
2,training,53.293332499999906,trial_end,all,,shapes_shown=circle-cross-star-t
3,training,54.3086143999999,trial_start,all,,shape_order=circle-cross-star-t
3,training,55.32585530000006,fixator_end,all,,
3,training,55.594202400000086,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
3,training,57.39243140000008,animation_end,circle,"(-480.0, -270.0)",duration=1798ms
3,training,57.66076770000018,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
3,training,59.44151370000009,animation_end,cross,"(480.0, -270.0)",duration=1781ms
3,training,60.21014920000016,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
3,training,62.00746410000011,animation_end,star,"(-480.0, 270.0)",duration=1797ms
3,training,62.52625020000005,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
3,training,64.34065469999996,animation_end,t,"(480.0, 270.0)",duration=1814ms
3,training,64.35668040000019,trial_end,all,,shapes_shown=circle-cross-star-t
4,training,65.37145220000002,trial_start,all,,shape_order=circle-cross-star-t
4,training,66.39007410000022,fixator_end,all,,
4,training,66.65725790000033,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
4,training,68.43699270000025,animation_end,circle,"(-480.0, -270.0)",duration=1780ms
4,training,68.9570604999999,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
4,training,70.75456110000005,animation_end,cross,"(480.0, -270.0)",duration=1797ms
4,training,71.27321430000029,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
4,training,73.07059019999997,animation_end,star,"(-480.0, 270.0)",duration=1797ms
4,training,73.08858260000034,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
4,training,74.90318340000022,animation_end,t,"(480.0, 270.0)",duration=1815ms
4,training,74.92071000000033,trial_end,all,,shapes_shown=circle-cross-star-t
4,AG,75.92561280000018,videoStart,all,center,video=bouncyballs_5
4,AG,81.09979229999999,videoEnd,all,center,"video=bouncyballs_5, duration=5.14s"
5,training,82.6065652000002,trial_start,all,,shape_order=circle-cross-star-t
5,training,83.61762960000033,fixator_end,all,,
5,training,84.63499430000002,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
5,training,86.43275480000011,animation_end,circle,"(-480.0, -270.0)",duration=1798ms
5,training,86.69965520000005,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
5,training,88.51355490000014,animation_end,cross,"(480.0, -270.0)",duration=1814ms
5,training,89.53354579999996,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
5,training,91.3290649999999,animation_end,star,"(-480.0, 270.0)",duration=1795ms
5,training,91.34691070000008,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
5,training,93.16244670000015,animation_end,t,"(480.0, 270.0)",duration=1816ms
5,training,93.18055570000024,trial_end,all,,shapes_shown=circle-cross-star-t
6,training,94.19587709999996,trial_start,all,,shape_order=circle-cross-star-t
6,training,95.21216219999997,fixator_end,all,,
6,training,95.97927010000012,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
6,training,97.79371750000018,animation_end,circle,"(-480.0, -270.0)",duration=1814ms
6,training,98.81317220000028,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
6,training,100.60976800000026,animation_end,cross,"(480.0, -270.0)",duration=1797ms
6,training,100.87871040000027,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
6,training,102.65885849999995,animation_end,star,"(-480.0, 270.0)",duration=1780ms
6,training,103.42705130000013,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
6,training,105.22449910000023,animation_end,t,"(480.0, 270.0)",duration=1797ms
6,training,105.2428090000003,trial_end,all,,shapes_shown=circle-cross-star-t
7,training,106.25878000000012,trial_start,all,,shape_order=circle-cross-star-t
7,training,107.27521139999999,fixator_end,all,,
