trial_num,phase,timestamp,event_type,shape,position,additional_info
0,AG,42.51409239997156,videoStart,all,center,video=balloons_5
0,AG,47.69086949992925,videoEnd,all,center,"video=balloons_5, duration=5.14s"
1,training,49.20100239990279,trial_start,all,,shape_order=circle-cross-star-t
1,training,50.21356249996461,fixator_end,all,,
1,training,50.733456399990246,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
1,training,52.54631749994587,animation_end,circle,"(-480.0, -270.0)",duration=1813ms
1,training,52.81532860000152,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
1,training,54.629014499951154,animation_end,cross,"(480.0, -270.0)",duration=1814ms
1,training,55.14803649997339,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
1,training,56.94499150000047,animation_end,star,"(-480.0, 270.0)",duration=1797ms
1,training,57.46522659994662,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
1,training,59.260620299959555,animation_end,t,"(480.0, 270.0)",duration=1795ms
1,training,59.279249299899675,trial_end,all,,shapes_shown=circle-cross-star-t
2,training,60.29581039992627,trial_start,all,,shape_order=circle-cross-star-t
2,training,61.31024589994922,fixator_end,all,,
2,training,62.32942729990464,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
2,training,64.14244189998135,animation_end,circle,"(-480.0, -270.0)",duration=1813ms
2,training,64.6625139999669,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
2,training,66.45844999991823,animation_end,cross,"(480.0, -270.0)",duration=1796ms
2,training,67.22870049998164,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
2,training,69.04068889992777,animation_end,star,"(-480.0, 270.0)",duration=1812ms
2,training,69.3108686999185,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
2,training,71.12344349990599,animation_end,t,"(480.0, 270.0)",duration=1813ms
2,training,71.14158319996204,trial_end,all,,shapes_shown=circle-cross-star-t
3,training,72.15704069996718,trial_start,all,,shape_order=circle-cross-star-t
3,training,73.17265279998537,fixator_end,all,,
3,training,74.19260289997328,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
3,training,76.005204499932,animation_end,circle,"(-480.0, -270.0)",duration=1813ms
3,training,76.02376809995621,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
3,training,77.82137619995046,animation_end,cross,"(480.0, -270.0)",duration=1798ms
3,training,78.0908871999709,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
3,training,79.90392479998991,animation_end,star,"(-480.0, 270.0)",duration=1813ms
3,training,80.92360129998997,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
3,training,82.73623039992526,animation_end,t,"(480.0, 270.0)",duration=1813ms
3,training,82.7545043999562,trial_end,all,,shapes_shown=circle-cross-star-t
4,training,83.77160859992728,trial_start,all,,shape_order=circle-cross-star-t
4,training,84.78573779994622,fixator_end,all,,
4,training,85.05632089998107,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
4,training,86.8682531999657,animation_end,circle,"(-480.0, -270.0)",duration=1812ms
4,training,87.88822139997501,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
4,training,89.68417899997439,animation_end,cross,"(480.0, -270.0)",duration=1796ms
4,training,90.70401300000958,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
4,training,92.49978229997214,animation_end,star,"(-480.0, 270.0)",duration=1796ms
4,training,93.01988769997843,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
4,training,94.81570279994048,animation_end,t,"(480.0, 270.0)",duration=1796ms
4,training,94.8338431000011,trial_end,all,,shapes_shown=circle-cross-star-t
4,AG,95.85135379992425,videoStart,all,center,video=bouncyballs_5
4,AG,100.9679983999813,videoEnd,all,center,"video=bouncyballs_5, duration=5.11s"
5,training,102.47673619992565,trial_start,all,,shape_order=circle-cross-star-t
5,training,103.47947139991447,fixator_end,all,,
5,training,104.25042099994607,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
5,training,106.04534289997537,animation_end,circle,"(-480.0, -270.0)",duration=1795ms
5,training,106.56601929990575,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
5,training,108.37830529990606,animation_end,cross,"(480.0, -270.0)",duration=1812ms
5,training,109.39883029996417,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
