trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,1,circle,"(-480.0, -270.0)",0
14,1,circle,"(-480.0, -270.0)",0
15,4,"circle,star,t,cross","(-480.0, -270.0),(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0)","0,3382,4664,1803"
16,2,"circle,star","(-480.0, -270.0),(-480.0, 270.0)","0,2760"
17,4,"circle,star,circle,cross","(-480.0, -270.0),(-480.0, 270.0),(-480.0, -270.0),(480.0, -270.0)","0,1879,1785,4129"
18,4,"circle,t,cross,circle","(-480.0, -270.0),(480.0, 270.0),(480.0, -270.0),(-480.0, -270.0)","0,3478,1785,4362"
