trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,1,circle,"(-480.0, -270.0)",0
14,1,circle,"(-480.0, -270.0)",0
15,1,circle,"(-480.0, -270.0)",0
16,2,"circle,star","(-480.0, -270.0),(-480.0, 270.0)","0,2383"
17,1,circle,"(-480.0, -270.0)",0
18,4,"circle,star,t,cross","(-480.0, -270.0),(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0)","0,3318,2831,2698"
19,1,circle,"(-480.0, -270.0)",0
20,2,"circle,t","(-480.0, -270.0),(480.0, 270.0)","0,4429"
21,1,circle,"(-480.0, -270.0)",0
