trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,3,"circle,cross,t","(-480.0, -270.0),(480.0, -270.0),(480.0, 270.0)","0,2246,3698"
14,3,"circle,cross,star","(-480.0, -270.0),(480.0, -270.0),(-480.0, 270.0)","0,1763,3163"
15,4,"circle,star,cross,t","(-480.0, -270.0),(-480.0, 270.0),(480.0, -270.0),(480.0, 270.0)","0,1897,2250,2831"
16,4,"circle,star,cross,t","(-480.0, -270.0),(-480.0, 270.0),(480.0, -270.0),(480.0, 270.0)","0,2147,2398,3165"
17,4,"circle,star,t,cross","(-480.0, -270.0),(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0)","0,2081,4898,3365"
