trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,4,"circle,star,t,star","(-480.0, -270.0),(-480.0, 270.0),(480.0, 270.0),(-480.0, 270.0)","0,2330,2630,2965"
14,4,"circle,t,star,circle","(-480.0, -270.0),(480.0, 270.0),(-480.0, 270.0),(-480.0, -270.0)","0,2997,2732,3214"
15,4,"circle,star,t,cross","(-480.0, -270.0),(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0)","0,3613,6230,2668"
