trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,1,circle,"(-480.0, -270.0)",0
14,4,"circle,star,t,cross","(-480.0, -270.0),(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0)","0,3431,2349,2365"
15,4,"circle,star,circle,star","(-480.0, -270.0),(-480.0, 270.0),(-480.0, -270.0),(-480.0, 270.0)","0,2630,5598,6198"
16,1,circle,"(-480.0, -270.0)",0
17,2,"circle,cross","(-480.0, -270.0),(480.0, -270.0)","0,4395"
18,4,"circle,star,t,star","(-480.0, -270.0),(-480.0, 270.0),(480.0, 270.0),(-480.0, 270.0)","0,4579,4898,5747"
