trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,1,circle,"(-480.0, -270.0)",0
14,4,"circle,cross,t,star","(-480.0, -270.0),(480.0, -270.0),(480.0, 270.0),(-480.0, 270.0)","0,2863,2766,1799"
15,1,circle,"(-480.0, -270.0)",0
16,4,"circle,star,cross,circle","(-480.0, -270.0),(-480.0, 270.0),(480.0, -270.0),(-480.0, -270.0)","0,1980,2166,2532"
17,3,"circle,star,circle","(-480.0, -270.0),(-480.0, 270.0),(-480.0, -270.0)","0,1943,4649"
18,1,circle,"(-480.0, -270.0)",0
19,4,"circle,star,circle,star","(-480.0, -270.0),(-480.0, 270.0),(-480.0, -270.0),(-480.0, 270.0)","0,1783,2497,2866"
