trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,1,circle,"(-480.0, -270.0)",0
14,1,circle,"(-480.0, -270.0)",0
15,1,circle,"(-480.0, -270.0)",0
16,1,circle,"(-480.0, -270.0)",0
17,1,circle,"(-480.0, -270.0)",0
18,1,circle,"(-480.0, -270.0)",0
19,1,circle,"(-480.0, -270.0)",0
20,1,circle,"(-480.0, -270.0)",0
21,1,circle,"(-480.0, -270.0)",0
