trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
6,7,"circle,circle,cross,cross,star,star,t","(-480.0, -270.0),(-480.0, -270.0),(480.0, -270.0),(480.0, -270.0),(-480.0, 270.0),(-480.0, 270.0),(480.0, 270.0)","594,503,1030,501,1019,776,1804"
7,6,"cross,cross,cross,cross,cross,t","(480.0, -270.0),(480.0, -270.0),(480.0, -270.0),(480.0, -270.0),(480.0, -270.0),(480.0, 270.0)","1447,504,2095,503,2363,2180"
8,7,"circle,circle,star,star,star,cross,t","(-480.0, -270.0),(-480.0, -270.0),(-480.0, 270.0),(-480.0, 270.0),(-480.0, 270.0),(480.0, -270.0),(480.0, 270.0)","331,514,417,849,500,1329,1783"
