trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
2,4,"star,circle,circle,cross","(-480.0, 270.0),(-480.0, -270.0),(-480.0, -270.0),(480.0, -270.0)","396,1798,1649,766"
3,4,"circle,star,star,circle","(-480.0, -270.0),(-480.0, 270.0),(-480.0, 270.0),(-480.0, -270.0)","713,1784,1530,766"
4,4,"t,cross,cross,t","(480.0, 270.0),(480.0, -270.0),(480.0, -270.0),(480.0, 270.0)","863,1797,1250,766"
