trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
6,4,"circle,cross,circle,t","(-480.0, -270.0),(480.0, -270.0),(-480.0, -270.0),(480.0, 270.0)","1547,2099,1796,1785"
7,4,"star,t,cross,star","(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0),(-480.0, 270.0)","945,1783,1797,1783"
8,4,"t,cross,t,star","(480.0, 270.0),(480.0, -270.0),(480.0, 270.0),(-480.0, 270.0)","333,1784,1798,2499"
