trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
2,1,circle,"(-480.0, -270.0)",332
2,1,star,"(-480.0, 270.0)",2134
2,1,circle,"(-480.0, -270.0)",3931
2,1,circle,"(-480.0, -270.0)",6233
3,1,cross,"(480.0, -270.0)",331
3,1,t,"(480.0, 270.0)",2099
3,1,t,"(480.0, 270.0)",4399
3,1,star,"(-480.0, 270.0)",6627
4,1,t,"(480.0, 270.0)",331
4,1,cross,"(480.0, -270.0)",10708
4,1,circle,"(-480.0, -270.0)",12741
