trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
2,1,cross,"(480.0, -270.0)",996
2,1,star,"(-480.0, 270.0)",3148
2,1,circle,"(-480.0, -270.0)",4929
2,1,cross,"(480.0, -270.0)",6731
3,1,circle,"(-480.0, -270.0)",633
3,1,cross,"(480.0, -270.0)",2665
3,1,star,"(-480.0, 270.0)",4884
3,1,t,"(480.0, 270.0)",7213
4,1,circle,"(-480.0, -270.0)",331
4,1,star,"(-480.0, 270.0)",2113
4,1,cross,"(480.0, -270.0)",4196
4,1,t,"(480.0, 270.0)",6210
