trial_num,selection_num,timestamp,shape,position,fixation_duration_ms,rt_from_trial_start_ms,rt_from_previous_selection_ms,queued_selection,was_executed
13,1,1222.035070199985,star,"(-480.0, 270.0)",261.3276999909431,261.35340001201257,261.35340001201257,False,True
13,2,1223.2875297000282,star,"(-480.0, 270.0)",251.4099000254646,1513.8129000551999,1252.4595000431873,True,False
13,2,1223.304975099978,star,"(-480.0, 270.0)",0,1531.2583000049926,1269.90489999298,True,False
13,2,1223.3209633000079,star,"(-480.0, 270.0)",0,1547.2465000348166,1285.893100022804,True,False
13,2,1223.336547199986,star,"(-480.0, 270.0)",0,1562.8304000128992,1301.4770000008866,True,False
13,2,1223.3555672999937,star,"(-480.0, 270.0)",0,1581.8505000206642,1320.4971000086516,True,False
13,2,1223.370897100016,star,"(-480.0, 270.0)",0,1597.1803000429645,1335.826900030952,True,False
13,2,1223.3876416999847,star,"(-480.0, 270.0)",0,1613.9249000116251,1352.5714999996126,True,False
13,2,1223.4030904999818,star,"(-480.0, 270.0)",0,1629.3737000087276,1368.020299996715,True,False
13,2,1223.42028999998,star,"(-480.0, 270.0)",0,1646.5732000069693,1385.2197999949567,True,False
13,2,1223.4362851000042,star,"(-480.0, 270.0)",0,1662.5683000311255,1401.214900019113,True,False
13,2,1223.45336330001,star,"(-480.0, 270.0)",0,1679.6465000370517,1418.2931000250392,True,False
13,2,1223.4696198999882,star,"(-480.0, 270.0)",0,1695.90310001513,1434.5497000031173,True,False
13,2,1223.4868600000045,star,"(-480.0, 270.0)",0,1713.1432000314817,1451.789800019469,True,False
13,2,1223.5028171000304,star,"(-480.0, 270.0)",0,1729.1003000573255,1467.746900045313,True,False
13,2,1223.5198323000222,star,"(-480.0, 270.0)",0,1746.1155000492,1484.7621000371873,True,False
13,2,1223.5352378999814,star,"(-480.0, 270.0)",0,1761.5211000083946,1500.167699996382,True,False
13,2,1223.553866799979,star,"(-480.0, 270.0)",0,1780.1500000059605,1518.796599993948,True,False
13,2,1223.5696329000057,star,"(-480.0, 270.0)",0,1795.9161000326276,1534.562700020615,True,False
13,2,1223.5872006000136,star,"(-480.0, 270.0)",0,1813.483800040558,1552.1304000285454,True,False
13,2,1223.6018095000181,star,"(-480.0, 270.0)",0,1828.0927000450902,1566.7393000330776,True,False
13,2,1223.6197648000089,star,"(-480.0, 270.0)",0,1846.0480000358075,1584.694600023795,True,False
13,2,1223.636848299997,star,"(-480.0, 270.0)",0,1863.1315000238828,1601.7781000118703,True,False
13,2,1223.6543805000256,star,"(-480.0, 270.0)",0,1880.663700052537,1619.3103000405245,True,False
13,2,1223.6686287000193,star,"(-480.0, 270.0)",0,1894.9119000462815,1633.558500034269,True,False
13,2,1223.6866851000232,star,"(-480.0, 270.0)",0,1912.9683000501245,1651.614900038112,True,False
13,2,1223.702919800009,star,"(-480.0, 270.0)",0,1929.2030000360683,1667.8496000240557,True,False
13,2,1223.7197050999966,star,"(-480.0, 270.0)",0,1945.9883000236005,1684.634900011588,True,False
13,2,1223.7358940999839,star,"(-480.0, 270.0)",0,1962.1773000108078,1700.8238999987952,True,False
13,2,1223.7535639000125,star,"(-480.0, 270.0)",0,1979.8471000394784,1718.4937000274658,True,False
13,2,1223.7682257000124,star,"(-480.0, 270.0)",0,1994.5089000393637,1733.155500027351,True,False
13,2,1223.7865462999907,star,"(-480.0, 270.0)",0,2012.8295000176877,1751.476100005675,True,False
13,2,1223.8014545000042,star,"(-480.0, 270.0)",0,2027.737700031139,1766.3843000191264,True,False
13,2,1223.8200163000147,star,"(-480.0, 270.0)",0,2046.2995000416413,1784.9461000296287,True,False
15,1,1236.5322942999774,star,"(-480.0, 270.0)",251.37859996175393,398.19330000318587,398.19330000318587,False,True
15,2,1237.597836299974,star,"(-480.0, 270.0)",266.1765999509953,1463.7352999998257,1065.5419999966398,True,False
15,2,1237.6182364000124,star,"(-480.0, 270.0)",0,1484.1354000382125,1085.9421000350267,True,False
15,2,1237.6319497000077,star,"(-480.0, 270.0)",0,1497.8487000335008,1099.655400030315,True,False
15,2,1237.647605700011,star,"(-480.0, 270.0)",0,1513.5047000367194,1115.3114000335336,True,False
15,2,1237.6645212000003,star,"(-480.0, 270.0)",0,1530.4202000261284,1132.2269000229426,True,False
15,2,1237.6809910000302,star,"(-480.0, 270.0)",0,1546.8900000560097,1148.6967000528239,True,False
15,2,1237.6984142999863,star,"(-480.0, 270.0)",0,1564.3133000121452,1166.1200000089593,True,False
15,2,1237.7156633000122,star,"(-480.0, 270.0)",0,1581.5623000380583,1183.3690000348724,True,False
15,2,1237.731482699979,star,"(-480.0, 270.0)",0,1597.3817000049166,1199.1884000017308,True,False
15,2,1237.7480014999746,star,"(-480.0, 270.0)",0,1613.9005000004545,1215.7071999972686,True,False
15,2,1237.7647595999879,star,"(-480.0, 270.0)",0,1630.658600013703,1232.4653000105172,True,False
15,2,1237.7809920000145,star,"(-480.0, 270.0)",0,1646.8910000403412,1248.6977000371553,True,False
15,2,1237.7981136000017,star,"(-480.0, 270.0)",0,1664.0126000274904,1265.8193000243045,True,False
15,2,1237.8144779999857,star,"(-480.0, 270.0)",0,1680.3770000115037,1282.1837000083178,True,False
15,2,1237.8313324999763,star,"(-480.0, 270.0)",0,1697.23150000209,1299.038199998904,True,False
15,2,1237.847756400006,star,"(-480.0, 270.0)",0,1713.655400031712,1315.462100028526,True,False
15,2,1237.8649551999988,star,"(-480.0, 270.0)",0,1730.8542000246234,1332.6609000214376,True,False
