trial_num,selection_num,timestamp,shape,position,fixation_duration_ms,rt_from_trial_start_ms,rt_from_previous_selection_ms,queued_selection,was_executed
13,1,182.78160200000275,circle,"(-480.0, -270.0)",0,0.00990001717582345,0.00990001717582345,False,True
13,2,183.04489999997895,circle,"(-480.0, -270.0)",261.056000017561,263.30789999337867,263.29799997620285,True,False
13,2,183.06444190000184,circle,"(-480.0, -270.0)",0,282.84980001626536,282.83989999908954,True,False
13,2,183.0772175999591,circle,"(-480.0, -270.0)",0,295.62549997353926,295.61559995636344,True,False
13,2,183.0950262999977,circle,"(-480.0, -270.0)",0,313.4342000121251,313.42429999494925,True,False
13,2,183.1106626999681,circle,"(-480.0, -270.0)",0,329.070599982515,329.06069996533915,True,False
13,2,183.128430199984,circle,"(-480.0, -270.0)",0,346.83809999842197,346.82819998124614,True,False
13,2,183.14399829995818,circle,"(-480.0, -270.0)",0,362.4061999726109,362.3962999554351,True,False
13,2,183.16177989996504,circle,"(-480.0, -270.0)",0,380.18779997946694,380.1778999622911,True,False
13,2,183.1777015000116,circle,"(-480.0, -270.0)",0,396.10940002603456,396.09950000885874,True,False
13,2,183.19493719999446,circle,"(-480.0, -270.0)",0,413.3451000088826,413.33519999170676,True,False
13,2,183.2117858999991,circle,"(-480.0, -270.0)",0,430.1938000135124,430.18389999633655,True,False
13,2,183.228759599966,circle,"(-480.0, -270.0)",0,447.1674999804236,447.1575999632478,True,False
13,2,183.24513009999646,circle,"(-480.0, -270.0)",0,463.5380000108853,463.5280999937095,True,False
13,2,183.2620719000115,circle,"(-480.0, -270.0)",0,480.4798000259325,480.46990000875667,True,False
13,2,183.2783674999955,circle,"(-480.0, -270.0)",0,496.7754000099376,496.76549999276176,True,False
13,2,183.2953290999867,circle,"(-480.0, -270.0)",0,513.7370000011288,513.7270999839529,True,False
13,2,183.3107452999684,circle,"(-480.0, -270.0)",0,529.1531999828294,529.1432999656536,True,False
13,2,183.3287880999851,circle,"(-480.0, -270.0)",0,547.1959999995306,547.1860999823548,True,False
13,2,183.34443669999018,circle,"(-480.0, -270.0)",0,562.8446000046097,562.8346999874339,True,False
13,2,183.36158520000754,circle,"(-480.0, -270.0)",0,579.9931000219658,579.98320000479,True,False
13,2,183.37758069997653,circle,"(-480.0, -270.0)",0,595.9885999909602,595.9786999737844,True,False
13,2,183.3949050999945,circle,"(-480.0, -270.0)",0,613.3130000089295,613.3030999917537,True,False
13,2,183.41081929998472,circle,"(-480.0, -270.0)",0,629.2271999991499,629.2172999819741,True,False
13,2,183.4281123999972,circle,"(-480.0, -270.0)",0,646.5203000116162,646.5103999944404,True,False
13,2,183.44518300000345,circle,"(-480.0, -270.0)",0,663.5909000178799,663.5810000007041,True,False
13,2,183.46174180001253,circle,"(-480.0, -270.0)",0,680.1497000269592,680.1398000097834,True,False
13,2,183.47879019996617,circle,"(-480.0, -270.0)",0,697.1980999805965,697.1881999634206,True,False
13,2,183.49549939995632,circle,"(-480.0, -270.0)",0,713.9072999707423,713.8973999535665,True,False
13,2,183.51155150000704,circle,"(-480.0, -270.0)",0,729.9594000214711,729.9495000042953,True,False
13,2,183.5286361000035,circle,"(-480.0, -270.0)",0,747.0440000179224,747.0341000007465,True,False
13,2,183.54390960000455,circle,"(-480.0, -270.0)",0,762.3175000189804,762.3076000018045,True,False
13,2,183.56178349995753,circle,"(-480.0, -270.0)",0,780.1913999719545,780.1814999547787,True,False
13,2,183.5777575999964,circle,"(-480.0, -270.0)",0,796.1655000108294,796.1555999936536,True,False
13,2,183.59497799997916,circle,"(-480.0, -270.0)",0,813.385899993591,813.3759999764152,True,False
13,2,183.61071629996877,circle,"(-480.0, -270.0)",0,829.1241999831982,829.1142999660224,True,False
13,2,183.62816490000114,circle,"(-480.0, -270.0)",0,846.572800015565,846.5628999983892,True,False
13,2,183.64414329995634,circle,"(-480.0, -270.0)",0,862.5511999707669,862.5412999535911,True,False
13,2,183.6618976999889,circle,"(-480.0, -270.0)",0,880.3056000033394,880.2956999861635,True,False
13,2,183.67814969999017,circle,"(-480.0, -270.0)",0,896.5576000045985,896.5476999874227,True,False
13,2,183.69542249996448,circle,"(-480.0, -270.0)",0,913.8303999789059,913.8204999617301,True,False
13,2,183.71149489999516,circle,"(-480.0, -270.0)",0,929.9028000095859,929.8928999924101,True,False
13,2,183.72849109995877,circle,"(-480.0, -270.0)",0,946.8989999732003,946.8890999560244,True,False
13,2,183.74496280000312,circle,"(-480.0, -270.0)",0,963.3707000175491,963.3608000003733,True,False
13,2,183.76119029999245,circle,"(-480.0, -270.0)",0,979.5982000068761,979.5882999897003,True,False
13,2,183.77690589998383,circle,"(-480.0, -270.0)",0,995.3137999982573,995.3038999810815,True,False
13,2,183.79468270001234,circle,"(-480.0, -270.0)",0,1013.0906000267714,1013.0807000095956,True,False
13,2,183.81049040000653,circle,"(-480.0, -270.0)",0,1028.8983000209555,1028.8884000037797,True,False
13,2,183.828376999998,circle,"(-480.0, -270.0)",0,1046.784900012426,1046.7749999952503,True,False
13,2,183.84388890000992,circle,"(-480.0, -270.0)",0,1062.2968000243418,1062.286900007166,True,False
13,2,183.86168899998302,circle,"(-480.0, -270.0)",0,1080.096899997443,1080.0869999802671,True,False
13,2,183.8780798999942,circle,"(-480.0, -270.0)",0,1096.4878000086173,1096.4778999914415,True,False
13,2,183.89513919997262,circle,"(-480.0, -270.0)",0,1113.547099987045,1113.537199969869,True,False
13,2,183.91142019996187,circle,"(-480.0, -270.0)",0,1129.8280999762937,1129.818199959118,True,False
