trial_num,phase,timestamp,event_type,shape,position,additional_info
0,AG,35.62060900000506,videoStart,all,center,video=balloons_5
0,AG,40.78488320000179,videoEnd,all,center,"video=balloons_5, duration=5.14s"
1,training,42.3027019000001,trial_start,all,,shape_order=circle-cross-star-t
1,training,43.317617000007886,fixator_end,all,,
1,training,43.336520500000915,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
1,training,45.13619010000548,animation_end,circle,"(-480.0, -270.0)",duration=1800ms
1,training,45.153897800002596,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
1,training,46.96602570000687,animation_end,cross,"(480.0, -270.0)",duration=1812ms
1,training,46.9831736000051,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
1,training,48.78387830000429,animation_end,star,"(-480.0, 270.0)",duration=1801ms
1,training,48.80118219999713,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
1,training,50.59891539999808,animation_end,t,"(480.0, 270.0)",duration=1798ms
1,training,50.6164465000038,trial_end,all,,shapes_shown=circle-cross-star-t
2,training,51.63279010000406,trial_start,all,,shape_order=circle-cross-star-t
2,training,52.64724390000629,fixator_end,all,,
2,training,52.665033199999016,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
2,training,54.46414320000622,animation_end,circle,"(-480.0, -270.0)",duration=1799ms
2,training,54.48618490000081,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
2,training,56.264113299999735,animation_end,cross,"(480.0, -270.0)",duration=1778ms
2,training,56.281497999996645,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
2,training,58.062920700001996,animation_end,star,"(-480.0, 270.0)",duration=1781ms
2,training,58.08106159999443,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
2,training,59.87816779999412,animation_end,t,"(480.0, 270.0)",duration=1797ms
2,training,59.89627900000778,trial_end,all,,shapes_shown=circle-cross-star-t
3,training,60.90035720000742,trial_start,all,,shape_order=circle-cross-star-t
3,training,61.9094008999964,fixator_end,all,,
3,training,61.92827459999535,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
3,training,63.709065400005784,animation_end,circle,"(-480.0, -270.0)",duration=1781ms
3,training,63.72683620000316,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
3,training,65.54205459999503,animation_end,cross,"(480.0, -270.0)",duration=1815ms
3,training,65.56043670000508,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
3,training,67.37411390000489,animation_end,star,"(-480.0, 270.0)",duration=1814ms
3,training,67.39789019999444,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
3,training,69.1711912000028,animation_end,t,"(480.0, 270.0)",duration=1773ms
3,training,69.19138730000122,trial_end,all,,shapes_shown=circle-cross-star-t
4,training,70.20858289999887,trial_start,all,,shape_order=circle-cross-star-t
4,training,71.22325749999436,fixator_end,all,,
4,training,71.2419460999954,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
4,training,73.02295030000096,animation_end,circle,"(-480.0, -270.0)",duration=1781ms
4,training,73.04140149999876,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
4,training,74.84116209999775,animation_end,cross,"(480.0, -270.0)",duration=1800ms
4,training,74.8571196999983,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
4,training,76.65702880000754,animation_end,star,"(-480.0, 270.0)",duration=1800ms
4,training,76.67508760000055,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
4,training,78.48918000000413,animation_end,t,"(480.0, 270.0)",duration=1814ms
4,training,78.50718699999561,trial_end,all,,shapes_shown=circle-cross-star-t
4,AG,79.52400530000159,videoStart,all,center,video=bouncyballs_5
4,AG,84.69634130000486,videoEnd,all,center,"video=bouncyballs_5, duration=5.14s"
5,training,86.22354970000742,trial_start,all,,shape_order=circle-cross-star-t
5,training,87.23481589999574,fixator_end,all,,
5,training,87.2556700999994,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
5,training,89.06986030000553,animation_end,circle,"(-480.0, -270.0)",duration=1814ms
5,training,89.08752080000704,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
5,training,90.90006020000146,animation_end,cross,"(480.0, -270.0)",duration=1812ms
5,training,90.91994870000053,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
5,training,92.6996380000055,animation_end,star,"(-480.0, 270.0)",duration=1780ms
5,training,92.71952179999789,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
5,training,94.49892179999733,animation_end,t,"(480.0, 270.0)",duration=1779ms
5,training,94.51631730000372,trial_end,all,,shapes_shown=circle-cross-star-t
6,training,95.52194999999483,trial_start,all,,shape_order=circle-cross-star-t
6,training,96.53241210000124,fixator_end,all,,
6,training,96.54911180000636,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
6,training,98.364367400005,animation_end,circle,"(-480.0, -270.0)",duration=1815ms
6,training,98.38200430000143,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
6,training,100.18036610000127,animation_end,cross,"(480.0, -270.0)",duration=1798ms
6,training,100.19897909999418,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
6,training,101.99662160000298,animation_end,star,"(-480.0, 270.0)",duration=1798ms
6,training,102.01561760000186,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
6,training,103.82963120000204,animation_end,t,"(480.0, 270.0)",duration=1814ms
6,training,103.84763459999522,trial_end,all,,shapes_shown=circle-cross-star-t
7,training,104.86422909999965,trial_start,all,,shape_order=circle-cross-star-t
7,training,105.88101019999885,fixator_end,all,,
7,training,105.89756820000184,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
7,training,107.68062929999724,animation_end,circle,"(-480.0, -270.0)",duration=1783ms
7,training,107.6975994999957,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
7,training,109.4961947999982,animation_end,cross,"(480.0, -270.0)",duration=1799ms
7,training,109.51432420000492,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
7,training,111.32792860000336,animation_end,star,"(-480.0, 270.0)",duration=1814ms
7,training,111.34675850000349,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
7,training,113.14562700000533,animation_end,t,"(480.0, 270.0)",duration=1799ms
7,training,113.16180590000295,trial_end,all,,shapes_shown=circle-cross-star-t
8,training,114.18110729999898,trial_start,all,,shape_order=circle-cross-star-t
8,training,115.19515729999694,fixator_end,all,,
