trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,4,"star,star,star,star","(-480.0, 270.0),(-480.0, 270.0),(-480.0, 270.0),(-480.0, 270.0)","261,2800,2815,2815"
14,4,"star,star,star,star","(-480.0, 270.0),(-480.0, 270.0),(-480.0, 270.0),(-480.0, 270.0)","261,2799,2816,2800"
15,4,"star,star,t,cross","(-480.0, 270.0),(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0)","262,3118,1998,2532"
