trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,4,"star,circle,t,circle","(-480.0, 270.0),(-480.0, -270.0),(480.0, 270.0),(-480.0, -270.0)","1964,3315,3998,4531"
14,4,"t,cross,circle,star","(480.0, 270.0),(480.0, -270.0),(-480.0, -270.0),(-480.0, 270.0)","2428,4749,4681,2765"
15,1,circle,"(-480.0, -270.0)",1379
16,4,"circle,cross,circle,cross","(-480.0, -270.0),(480.0, -270.0),(-480.0, -270.0),(480.0, -270.0)","580,3498,3481,2832"
