trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,4,"t,star,t,cross","(480.0, 270.0),(-480.0, 270.0),(480.0, 270.0),(480.0, -270.0)","328,4264,2932,2265"
14,4,"t,cross,t,cross","(480.0, 270.0),(480.0, -270.0),(480.0, 270.0),(480.0, -270.0)","396,3349,2265,3148"
15,4,"t,circle,cross,circle","(480.0, 270.0),(-480.0, -270.0),(480.0, -270.0),(-480.0, -270.0)","329,3265,4065,2932"
