trial_num,selection_order,shape_sequence,position_sequence,timing_sequence_ms
13,3,"circle,cross,star","(-480.0, -270.0),(480.0, -270.0),(-480.0, 270.0)","263,2450,3331"
14,4,"circle,star,cross,circle","(-480.0, -270.0),(-480.0, 270.0),(480.0, -270.0),(-480.0, -270.0)","4280,4999,2731,3365"
15,1,cross,"(480.0, -270.0)",628
18,4,"cross,star,circle,cross","(480.0, -270.0),(-480.0, 270.0),(-480.0, -270.0),(480.0, -270.0)","1347,3031,3665,3848"
19,2,"cross,star","(480.0, -270.0),(-480.0, 270.0)","1027,5331"
20,1,circle,"(-480.0, -270.0)",3861
21,4,"circle,cross,t,star","(-480.0, -270.0),(480.0, -270.0),(480.0, 270.0),(-480.0, 270.0)","896,2999,6349,3246"
